cirus;cirus;3;43%;-5%;-1%;20%;0;0;0;;0;7;-226;10;0;54;33;41;33;27;25;1;0%;0%;-7%
stargate-finance;stg;6;63%;17%;39%;0%;0;1;100;;11;12;-103;0;1;59;45;32;35;43;35;2;12%;7%;9%
yfii-finance;yfii;9;194%;59%;49%;3%;1;101;100;;10;0;23;0;2;52;70;59;48;53;43;1;12%;-8%;-5%
tranchess;chess;7;39%;36%;22%;0%;0;0;100;;10;6;-48;0;1;72;49;31;41;41;32;2;8%;0%;14%
digibyte;dgb;7;46%;29%;43%;0%;0;10;100;;10;6;-67;0;2;67;62;34;39;49;28;2;0%;0%;1%
nervos-network;ckb;7;24%;37%;4%;0%;0;100;0;;0;7;-42;0;1;92;38;41;43;40;34;1;-4%;0%;-3%
sushi;sushi;7;45%;30%;32%;0%;0;0;100;;10;1;-71;0;2;86;61;23;40;45;26;2;6%;5%;9%
matic-network;matic;7;55%;43%;25%;0%;1;100;0;;10;10;-22;0;1;71;49;32;41;43;28;1;15%;-5%;-8%
just;jst;5;39%;61%;17%;0%;10;0;0;;0;8;43;0;0;26;52;22;51;40;23;2;5%;7%;-2%
hackenai;hai;8;50%;47%;7%;58%;10;0;10;;1;15;3;0;1;51;28;61;48;31;42;2;-1%;1%;-1%
litecoin;ltc;5;75%;38%;9%;0%;1;0;0;;10;22;-40;0;2;75;59;24;40;43;27;0;1%;-20%;-10%
dash;dash;8;46%;38%;29%;27%;0;1;0;;11;11;-37;0;3;78;58;63;38;44;45;2;-46%;17%;13%
morpheus-labs;mitx;5;63%;14%;0%;46%;0;0;1;;10;13;-112;0;1;59;50;54;37;39;45;2;-5%;17%;2%
conflux-token;cfx;5;111%;36%;17%;6%;0;0;0;;1;20;-47;0;1;90;44;46;39;36;38;2;6%;7%;-14%
origin-dollar;ousd;10;0%;39%;80%;36%;101;1;100;;10;2;-65;0;2;73;65;35;49;55;49;2;1%;0%;-17%
siacoin;sc;11;44%;51%;73%;3%;1;111;100;;10;8;1;0;1;65;49;39;49;57;38;3;8%;71%;91%
ardor;ardr;9;38%;52%;48%;26%;10;110;100;;10;7;11;0;2;60;49;71;49;50;44;2;-91%;64%;22%
lever;lever;10;286%;49%;70%;31%;10;11;100;;1;5;-4;0;1;9;72;41;48;36;43;1;5%;-2%;-3%
api3;api3;9;49%;43%;44%;21%;10;1;101;;0;3;-27;0;1;56;55;31;47;46;43;3;9%;18%;16%
aelf;elf;8;54%;63%;1%;0%;110;0;100;;1;40;41;10;0;24;55;44;57;36;34;3;11%;62%;139%
voxies;voxel;6;27%;54%;-1%;0%;1;0;0;;0;4;21;1;1;72;46;13;47;34;17;2;6%;7%;5%
stp-network;stpt;9;97%;90%;22%;0%;111;100;0;;0;19;132;10;1;24;61;38;66;44;28;1;2%;0%;-9%
klay-token;klay;7;66%;33%;66%;0%;1;110;0;;10;4;-60;0;0;46;29;41;35;61;32;3;-29%;20%;-4%
kaspa;kas;7;65%;74%;2%;0%;111;0;0;;0;42;81;1;0;42;35;12;64;36;25;2;1%;6%;-1%
aragon;ant;10;31%;80%;41%;7%;111;1;0;;0;45;99;10;1;42;62;50;62;46;41;3;3%;8%;21%
elastos;ela;5;34%;33%;29%;44%;100;0;0;;1;10;-54;10;0;53;53;33;46;41;44;3;3%;0%;1%
monero;xmr;9;20%;78%;61%;0%;1;110;100;;10;7;78;0;0;51;39;26;58;59;29;3;1%;-9%;-13%
origintrail;trac;10;23%;35%;69%;21%;0;11;10;;11;15;-68;0;1;73;55;52;45;48;42;2;1%;3%;9%
quick;quick;9;198%;58%;27%;44%;11;100;0;;10;9;44;0;1;99;27;47;49;44;46;2;1%;26%;-68%
harmony;one;9;41%;30%;74%;2%;0;1;100;;11;9;-68;0;2;76;64;48;35;51;38;2;5%;4%;8%
reef;reef;5;33%;35%;19%;0%;0;0;0;;10;0;-50;0;2;71;59;27;41;42;26;3;18%;8%;7%
telcoin;tel;6;67%;28%;24%;13%;0;0;0;;11;14;-71;0;3;74;69;62;31;43;42;2;9%;6%;-13%
amber;amb;8;150%;69%;17%;67%;10;0;11;;1;8;82;0;0;31;44;55;52;42;48;2;1%;3%;83%
scallop;sclp;8;66%;33%;26%;0%;1;101;100;;10;6;-58;0;1;71;36;19;38;48;27;2;-1%;-5%;5%
bluzelle;blz;10;436%;58%;57%;66%;110;1;10;;1;21;28;10;0;22;53;35;56;48;55;2;2%;13%;12%
ethereum;eth;4;24%;35%;31%;2%;1;0;0;;10;20;-51;0;2;57;59;39;42;44;33;3;11%;3%;6%
status;snt;10;30%;65%;47%;0%;11;100;0;;10;1;46;0;3;63;65;60;53;54;34;1;0%;-38%;-29%
bitcoin;btc;10;21%;63%;59%;14%;1;111;100;;10;34;38;0;1;55;82;53;54;55;40;2;12%;-7%;11%
rif-token;rif;4;28%;27%;14%;0%;0;0;0;;10;9;-72;0;1;76;43;31;38;40;29;1;3%;-18%;-39%
selfkey;key;9;44%;79%;69%;0%;11;110;100;;10;9;83;0;0;49;21;6;53;57;33;4;2%;78%;167%
secret;scrt;8;58%;35%;54%;3%;1;10;100;;10;0;-52;0;1;66;35;18;35;50;30;3;2%;19%;98%
dogecoin;doge;4;43%;30%;0%;0%;0;0;0;;10;4;-63;0;1;80;54;19;40;39;28;2;37%;7%;-2%
thunder-token;tt;7;57%;75%;8%;0%;11;100;0;;0;8;86;0;0;30;51;38;56;37;28;1;2%;15%;-24%
rmrk;rmrk;10;40%;64%;84%;0%;1;111;100;;10;4;42;0;0;52;35;27;52;65;29;2;40%;-10%;-29%
omisego;omg;10;50%;38%;65%;0%;1;10;10;;11;4;-42;0;1;75;53;43;37;50;39;3;12%;3%;23%
epik-prime;epik;8;147%;21%;82%;77%;0;11;10;;11;6;-85;0;0;44;45;31;31;54;58;2;-1%;-4%;-5%
icon;icx;9;54%;47%;60%;6%;1;10;0;;10;10;-21;0;2;72;21;72;44;52;37;4;1%;34%;96%
vega-protocol;vega;8;151%;77%;59%;8%;11;110;0;;10;8;94;0;0;37;32;48;55;58;32;2;4%;18%;-22%
vaiot;vai;4;145%;21%;21%;4%;0;1;0;;11;23;-92;0;1;56;22;34;35;40;38;3;1%;0%;8%
smooth-love-potion;slp;5;30%;49%;0%;0%;1;0;0;;10;0;-1;0;0;52;51;29;42;38;26;2;6%;2%;-12%
the-sandbox;sand;6;74%;31%;33%;0%;0;0;100;;10;1;-61;0;2;68;69;24;31;46;28;2;8%;14%;14%
gitcoin;gtc;8;47%;32%;28%;6%;0;1;100;;1;4;-57;0;3;75;56;62;43;41;40;2;3%;-9%;15%
nexo;nexo;9;26%;18%;59%;30%;0;1;110;;11;0;-106;0;3;56;79;79;36;51;46;1;0%;12%;14%
xyo-network;xyo;10;39%;67%;59%;40%;1;110;1;;10;1;49;1;2;60;0;81;51;55;40;2;-9%;-24%;-23%
trias-token;trias;8;44%;51%;23%;59%;1;100;1;;10;31;9;1;2;44;63;68;50;44;49;1;-42%;29%;-24%
hathor;htr;6;55%;38%;25%;14%;1;100;0;;10;8;-50;0;1;65;23;55;43;43;31;0;1%;-19%;-11%
spell-token;spell;9;49%;65%;93%;72%;10;1;110;;1;1;42;0;0;29;52;11;50;58;58;3;5%;10%;-11%
govi;govi;10;43%;51%;33%;0%;1;101;100;;11;13;-4;0;2;85;50;83;35;46;42;2;17%;29%;158%
nkn;nkn;7;30%;29%;38%;17%;0;1;110;;11;11;-70;0;1;76;53;48;43;46;39;3;-7%;-2%;8%
binancecoin;bnb;7;24%;30%;38%;30%;0;1;100;;11;5;-63;0;1;66;47;50;35;46;44;3;4%;3%;15%
streamr;data;12;24%;71%;44%;102%;11;10;11;;11;13;59;0;2;58;72;16;49;48;70;4;3%;12%;79%
biconomy;bico;7;38%;61%;13%;24%;11;0;0;;1;5;44;0;1;54;48;58;48;40;41;2;6%;0%;8%
zelcash;flux;14;53%;50%;102%;84%;1;111;111;;11;4;-12;0;1;67;25;28;43;72;60;3;5%;17%;71%
gari-network;gari;9;1626%;79%;13%;22%;11;0;10;;1;7;99;0;1;8;66;37;54;40;40;1;4%;-3%;-6%
blockstack;stx;11;51%;49%;52%;36%;1;101;10;;10;12;3;0;3;69;69;57;46;52;43;2;124%;22%;7%
ssv-network;ssv;9;42%;47%;42%;0%;10;10;100;;10;23;-16;0;1;65;31;33;44;45;32;4;2%;6%;74%
bitcoin-cash;bch;7;46%;66%;16%;16%;111;0;0;;0;22;52;0;1;48;56;43;56;43;36;2;6%;8%;-1%
presearch;pre;10;86%;17%;74%;63%;0;11;110;;11;12;-103;0;2;47;75;61;29;54;56;2;-8%;-23%;12%
alchemy-pay;ach;8;51%;33%;25%;12%;10;0;100;;0;19;-53;0;2;65;62;34;39;43;35;2;44%;-10%;0%
nym;nym;2;159%;24%;12%;0%;0;0;0;achat;1;4;-80;0;1;48;10;56;27;16;23;0;0%;0%;0%
measurable-data-token;mdt;9;40%;52%;72%;64%;10;1;110;;1;13;-2;0;0;52;46;17;49;53;58;3;11%;55%;-6%
terra-luna-2;luna;3;83%;37%;10%;0%;0;0;0;;10;0;-39;0;1;50;57;28;35;36;28;2;6%;10%;19%
wemix-token;wemix;6;220%;90%;4%;1%;11;0;0;;0;12;120;0;0;9;52;53;69;40;38;3;5%;3%;11%
tomochain;tomo;7;50%;67%;19%;0%;111;100;0;;0;29;66;1;0;47;43;42;56;44;28;1;2%;-8%;-13%
haven;xhv;7;222%;28%;35%;47%;1;100;1;;10;11;-65;0;0;42;55;43;38;51;46;0;2%;-11%;-7%
quant-network;qnt;11;31%;17%;90%;97%;0;11;111;;11;0;-102;0;1;46;67;33;35;58;64;2;5%;11%;10%
woonkly-power;woop;7;487%;21%;58%;31%;0;1;110;;11;1;-98;0;2;60;43;57;34;51;45;2;0%;0%;3%
dexe;dexe;9;6%;46%;16%;23%;10;10;0;;10;7;14;0;3;90;59;74;46;41;37;2;0%;16%;26%
radio-caca;raca;8;44%;33%;52%;17%;1;10;0;;10;1;-56;0;1;62;46;38;36;50;40;1;-2%;4%;-7%
morpheus-network;mnw;12;14%;90%;79%;0%;11;111;0;;10;16;109;0;1;71;29;39;51;65;32;1;0%;-12%;-3%
uniswap;uni;4;94%;33%;21%;0%;0;0;0;;10;1;-54;0;1;67;54;33;40;44;35;2;13%;3%;6%
derace;derc;10;21%;45%;69%;41%;1;101;110;;11;1;-18;0;2;64;69;38;48;54;48;2;1%;0%;15%
pundi-x-2;pundix;9;32%;57%;55%;32%;11;1;100;;1;4;23;0;1;52;79;42;49;49;49;3;-6%;47%;96%
unizen;zcx;11;61%;98%;76%;49%;11;110;1;;10;2;140;0;1;45;11;69;57;67;48;2;1%;2%;0%
raydium;ray;5;39%;34%;0%;7%;1;0;0;;0;0;-49;0;1;70;55;24;42;37;20;2;-3%;8%;1%
storm;stmx;8;81%;68%;8%;0%;110;100;0;;0;6;58;0;1;51;61;43;56;41;32;2;4%;-1%;6%
balancer;bal;6;61%;27%;33%;35%;0;1;100;;11;12;-70;0;1;61;45;55;28;44;45;1;11%;-6%;-9%
hive;hive;10;45%;58%;57%;15%;1;110;0;;10;1;20;1;3;60;69;77;50;54;42;1;8%;28%;-49%
swash;swash;10;48%;17%;35%;95%;0;1;111;;11;8;-103;0;3;66;59;64;34;46;60;3;0%;13%;5%
enjincoin;enj;11;56%;31%;102%;77%;1;11;111;;11;10;-69;0;1;61;16;34;38;77;65;4;2%;82%;159%
safepal;sfp;10;67%;81%;44%;20%;111;100;100;;0;14;98;0;1;33;63;31;65;55;39;1;2%;-7%;-22%
1inch;1inch;10;50%;43%;100%;45%;0;11;110;;11;1;-26;0;1;67;48;47;41;59;52;3;-1%;17%;20%
aurory;aury;11;148%;29%;22%;87%;100;1;111;;1;2;-83;0;2;68;44;83;41;36;53;4;0%;-1%;9%
moviebloc;mbl;9;42%;63%;35%;6%;111;100;0;;0;13;53;0;1;50;48;71;56;47;41;3;7%;32%;-56%
terrausd;ustc;4;52%;27%;18%;0%;0;0;0;;1;0;-79;0;2;87;57;18;40;39;26;2;8%;5%;2%
pstake-finance;pstake;11;88%;38%;66%;56%;1;11;1;;10;7;-38;0;2;67;45;59;37;53;49;2;1%;1%;6%
aleph-zero;azero;5;30%;31%;8%;5%;0;0;0;;10;10;-59;0;1;60;48;53;40;39;34;2;8%;13%;1%
akash-network;akt;6;198%;44%;21%;0%;101;100;0;;0;23;-18;1;0;29;26;37;53;45;24;2;1%;2%;7%
badger-dao;badger;9;34%;52%;54%;14%;11;10;0;;10;3;19;0;2;59;60;34;49;48;40;1;4%;-5%;-15%
crypto-com-chain;cro;4;28%;31%;17%;9%;0;0;0;;10;0;-59;0;3;83;58;56;36;45;39;2;4%;-5%;7%
dusk-network;dusk;10;42%;60%;80%;2%;11;11;100;;10;11;30;0;1;59;51;27;49;59;34;2;4%;7%;-4%
yearn-finance;yfi;9;42%;33%;61%;54%;1;101;10;;11;4;-52;0;1;70;50;39;37;55;48;2;5%;-1%;0%
dent;dent;9;49%;32%;80%;5%;1;1;100;;10;9;-60;0;2;71;67;52;37;53;41;1;9%;-13%;-6%
shiba-inu;shib;4;57%;28%;0%;0%;0;0;0;;10;13;-78;0;1;62;46;17;39;36;21;3;15%;12%;9%
arpa;arpa;4;48%;34%;9%;0%;0;0;0;;0;14;-51;0;1;79;41;20;45;39;26;3;3%;22%;11%
prosper;pros;6;51%;45%;7%;-1%;10;0;0;;0;0;-11;0;2;61;58;22;43;37;21;2;4%;3%;-1%
immutable-x;imx;6;70%;34%;28%;12%;0;0;0;;10;15;-53;0;1;49;62;55;41;43;39;1;3%;8%;9%
electroneum;etn;11;29%;64%;80%;96%;1;11;111;;11;3;25;0;0;49;36;22;51;54;70;2;2%;6%;0%
vechain;vet;8;27%;57%;48%;0%;11;10;0;;10;9;17;0;1;56;51;33;48;49;28;3;3%;5%;12%
ethereum-classic;etc;5;32%;36%;2%;0%;0;0;0;;0;0;-46;0;1;64;52;29;42;37;29;2;28%;5%;6%
phoenix-global;phb;6;37%;71%;22%;-1%;11;0;0;;0;12;83;0;1;59;50;19;49;40;26;1;6%;-20%;-16%
origin-protocol;ogn;8;119%;84%;33%;7%;11;0;100;;1;5;130;0;1;20;62;27;60;45;37;2;4%;-4%;-3%
matrix-ai-network;man;4;77%;21%;6%;2%;0;100;0;;10;25;-90;0;1;60;52;44;38;41;32;0;1%;-11%;-6%
oraichain-token;orai;14;63%;84%;95%;78%;11;111;111;;10;18;100;0;1;56;40;38;52;66;57;3;-22%;26%;34%
divi;divi;7;106%;25%;33%;40%;0;1;100;;11;0;-80;0;2;61;54;88;32;46;50;2;0%;-1%;-1%
mobox;mbox;5;43%;22%;6%;0%;0;0;0;;1;1;-91;0;1;67;48;23;34;30;27;3;3%;4%;10%
xdce-crowd-sale;xdc;5;78%;26%;7%;15%;100;0;0;;0;21;-89;10;2;57;73;45;49;42;37;4;2%;16%;7%
stratis;strax;7;112%;102%;34%;14%;11;100;0;;0;8;300;0;0;7;26;46;65;46;31;2;-6%;-43%;-17%
playdapp;pla;8;41%;48%;66%;0%;1;110;100;;10;0;-12;0;0;53;44;50;48;53;39;3;3%;69%;14%
utrust;utk;7;38%;31%;21%;0%;0;10;0;;10;2;-59;0;1;77;48;45;37;40;28;1;-14%;0%;7%
ecash;xec;5;51%;41%;10%;8%;0;0;0;;0;4;-30;0;2;67;58;51;46;41;39;2;17%;17%;12%
alpine-f1-team-fan-token;alpine;5;30%;18%;22%;0%;0;10;0;;10;6;-98;0;0;47;53;42;39;44;26;1;1%;-36%;1%
aioz-network;aioz;7;54%;44%;13%;4%;1;100;0;;10;0;-16;0;1;86;45;50;41;43;39;2;0%;1%;10%
santos-fc-fan-token;santos;5;27%;19%;0%;0%;0;0;0;;10;0;-98;0;2;60;65;22;34;38;18;0;-24%;-4%;-4%
cream-2;cream;8;145%;79%;21%;38%;11;0;10;;1;20;99;10;0;37;48;32;55;41;43;2;16%;5%;-2%
verge;xvg;9;68%;33%;45%;18%;100;1;110;;1;9;-56;0;2;89;58;40;47;46;44;3;2%;16%;24%
alchemix;alcx;5;36%;52%;0%;0%;10;0;0;;0;4;3;0;0;41;45;27;44;35;26;2;2%;15%;0%
pnetwork;pnt;5;126%;57%;24%;0%;10;0;0;;1;7;38;0;0;30;36;44;50;39;37;1;-2%;-4%;-34%
sharering;shr;8;27%;44%;34%;0%;1;110;0;;10;11;-17;0;1;74;42;43;43;47;36;1;-1%;-10%;-29%
defichain;dfi;5;47%;37%;7%;2%;10;0;0;;1;2;-47;0;0;31;36;45;41;32;34;1;14%;-10%;-16%
metis-token;metis;4;66%;36%;7%;10%;0;0;0;;1;8;-44;0;0;55;46;28;37;27;34;2;15%;1%;-9%
beta-finance;beta;6;34%;-3%;18%;8%;0;0;100;;1;4;-225;10;0;48;46;41;36;32;33;2;2%;1%;-22%
zcash;zec;8;32%;44%;21%;18%;0;1;10;;1;0;-11;0;1;68;39;42;44;40;40;2;8%;8%;24%
axie-infinity;axs;5;62%;29%;27%;1%;0;0;0;;10;1;-66;0;2;68;70;32;35;46;29;3;7%;10%;7%
cardano;ada;8;35%;38%;31%;55%;1;1;10;;11;2;-40;0;1;74;40;44;41;46;50;1;-1%;2%;-14%
illuvium;ilv;5;41%;28%;19%;0%;0;0;0;;10;10;-80;0;2;71;68;51;41;43;35;2;-12%;-9%;14%
paribus;pbx;10;110%;38%;43%;78%;1;101;11;;11;10;-37;0;1;98;44;31;46;51;59;1;2%;-1%;-14%
covalent;cqt;11;130%;107%;71%;0%;11;111;100;;10;15;216;0;1;15;67;31;69;60;33;2;2%;9%;1%
automata;ata;10;34%;58%;95%;67%;10;1;111;;11;8;27;0;1;59;43;46;45;58;63;3;2%;10%;63%
manchester-city-fan-token;city;5;32%;21%;0%;0%;0;0;0;;10;8;-89;0;2;74;18;71;31;35;38;4;22%;-11%;119%
amp-token;amp;3;98%;22%;5%;0%;0;0;0;;11;10;-87;0;0;49;50;51;28;34;35;2;1%;14%;16%
chromaway;chr;5;46%;36%;21%;1%;0;0;0;;1;9;-45;0;1;63;45;35;42;38;33;3;11%;-9%;60%
mirror-protocol;mir;10;502%;40%;63%;8%;1;101;110;;11;0;-39;0;2;107;68;55;31;56;38;2;0%;2%;10%
terra-luna;lunc;6;68%;28%;7%;0%;0;0;0;;10;0;-74;0;2;69;60;33;31;38;29;2;10%;4%;0%
h2o-dao;h2o;8;22%;61%;57%;6%;1;110;0;;10;0;34;0;2;55;82;59;50;54;40;2;0%;-1%;0%
melon;mln;5;47%;38%;6%;26%;0;0;0;;10;4;-41;0;1;41;51;73;43;38;31;0;-2%;-24%;-8%
keep3rv1;kp3r;5;55%;36%;0%;0%;0;0;0;;10;2;-45;0;1;72;43;21;38;35;17;2;7%;5%;-1%
wazirx;wrx;6;50%;30%;28%;8%;0;1;0;;11;1;-65;0;3;64;56;61;40;44;42;2;14%;3%;-5%
serum;srm;8;1265%;44%;8%;29%;1;100;0;;10;0;-12;1;2;80;30;61;40;38;31;2;1%;3%;15%
bitcoin-cash-sv;bsv;8;47%;63%;8%;35%;11;0;0;;0;2;46;0;1;51;55;60;52;37;40;2;3%;2%;1%
frontier-token;front;7;2489%;67%;23%;5%;110;0;0;;0;9;67;10;1;-7;60;22;56;44;31;0;-1%;-37%;-30%
axelar;axl;12;29%;29%;87%;22%;1;111;10;;10;0;-70;0;2;65;34;62;35;70;42;2;0%;8%;-5%
pluton;plu;9;61%;0%;55%;54%;0;1;11;;11;3;-183;10;1;42;53;60;31;47;48;0;1%;-5%;-13%
digitalbits;xdb;7;150%;29%;45%;4%;0;1;100;;11;0;-65;0;2;63;73;38;37;48;42;1;0%;-7%;-44%
bosagora;boa;8;90%;57%;27%;10%;1;100;100;;10;0;23;0;2;53;67;57;46;46;42;0;-2%;-15%;-26%
nimiq-2;nim;11;105%;78%;36%;62%;11;101;110;;1;15;103;0;0;28;53;0;53;48;54;2;10%;44%;1%
walken;wlkn;7;195%;6%;36%;62%;0;0;11;;10;3;-140;0;1;50;48;76;19;40;46;2;0%;4%;2%
stellar;xlm;6;52%;24%;5%;0%;100;0;0;;0;17;-89;10;2;64;60;14;45;40;21;3;30%;10%;14%
pancakeswap-token;cake;6;49%;29%;33%;0%;0;1;100;;11;1;-65;0;2;68;58;6;32;45;17;3;4%;1%;21%
hegic;hegic;12;58%;93%;90%;51%;1;111;110;;10;22;121;0;0;48;34;49;59;63;49;2;0%;-3%;-1%
tribe-2;tribe;10;21%;36%;25%;23%;1;100;110;;1;21;-40;0;2;67;47;70;46;45;47;1;-2%;-1%;-2%
