tokens;tickers;Total tests;Ecart BB 4d;Position % BB 4d;Position % BB 4h;Position % BB 30m;Tests MM 4d;Tests MM 4h;Tests MM 30m;"Combo RSI";"Tests RSI";Surventes RSI 4d;Surachats RSI 4d;Tests CCI;Test CHOP;chop 4d;chop 4h;chop 30m;Charged chop 4d;Charged chop 4h;Charged chop 30m;notation vol;var vol 1 jour;var vol 7 jours;var vol 14 jours
skale;skl;7;59%;4%;69%;36%;0;1;110;;11;7;-148;0;0;47;53;48;31;51;47;2;-1%;11%;2%
sperax;spa;7;57%;11%;11%;100%;0;0;11;;1;3;-130;0;1;74;50;22;39;37;67;3;0%;42%;111%
drep-new;drep;7;69%;13%;42%;58%;0;1;111;;11;6;-110;0;0;50;50;43;33;45;53;2;3%;0%;-19%
merit-circle;mc;7;213%;78%;48%;25%;10;10;0;;0;6;89;0;0;26;36;30;58;47;35;2;-5%;8%;78%
zencash;zen;7;50%;23%;47%;0%;0;1;100;;10;3;-82;0;1;45;63;27;42;47;33;0;-1%;-4%;-24%
nano;xno;7;34%;43%;54%;21%;1;110;100;;10;4;-32;0;0;43;55;33;47;54;41;2;-2%;10%;7%
ethernity-chain;ern;7;24%;27%;62%;20%;0;10;100;;10;7;-87;0;1;52;61;49;41;51;45;2;6%;7%;-38%
moonriver;movr;7;45%;10%;59%;13%;0;11;100;;10;2;-135;0;0;50;34;44;31;49;42;1;-18%;-16%;-40%
hooked-protocol;hook;7;93%;19%;66%;18%;0;11;100;;10;1;-103;0;1;56;34;35;34;52;47;1;-1%;-13%;-67%
liquity;lqty;7;82%;26%;82%;9%;0;11;100;;10;17;-81;0;0;45;28;36;40;57;41;3;-1%;6%;4%
tokocrypto;tko;7;25%;11%;60%;30%;0;10;100;;10;11;-125;0;2;62;56;50;36;48;47;2;0%;37%;18%
yield-app;yld;7;61%;19%;34%;30%;0;10;1;;10;14;-97;0;1;38;51;61;32;43;46;0;0%;-5%;-12%
render-token;rndr;7;77%;12%;95%;16%;0;11;100;;11;26;-119;0;0;48;50;34;37;52;46;2;4%;10%;12%
stafi;fis;7;50%;18%;70%;17%;0;10;100;;10;15;-107;0;1;55;61;39;36;52;45;2;0%;-2%;-3%
ethos;vgx;7;79%;16%;44%;42%;0;0;101;;11;1;-116;0;1;46;85;48;38;43;51;2;-4%;11%;18%
kadena;kda;7;57%;11%;41%;66%;0;10;1;;11;0;-118;0;1;40;63;45;32;43;55;3;0%;6%;26%
barnbridge;bond;7;75%;7%;96%;37%;0;11;100;;10;2;-150;0;1;41;44;59;33;59;49;3;0%;0%;122%
komodo;kmd;7;45%;17%;26%;98%;0;0;11;;1;14;-124;0;1;36;70;35;42;36;63;0;0%;-7%;-10%
iostoken;iost;7;42%;9%;82%;32%;0;11;100;;11;6;-132;0;0;42;50;43;34;51;49;2;4%;-20%;-12%
stepn;gmt;7;75%;8%;51%;27%;0;1;100;;11;1;-135;0;1;32;69;38;29;44;48;2;-1%;9%;-1%
lto-network;lto;7;35%;13%;57%;34%;0;11;100;;11;9;-121;0;2;58;55;58;32;50;50;0;-3%;-2%;-24%
near;near;7;45%;10%;53%;37%;0;1;100;;11;0;-136;0;1;50;62;44;35;44;49;2;13%;0%;1%
magic;magic;7;97%;3%;92%;38%;0;11;100;;11;15;-155;10;0;48;42;33;31;52;53;2;5%;51%;9%
neo;neo;7;52%;11%;76%;8%;0;11;100;;10;18;-125;0;0;48;46;30;35;50;41;2;2%;15%;3%
ecox;ecox;7;48%;13%;99%;49%;0;11;110;;11;0;-122;0;0;53;19;48;22;70;56;3;6%;28%;316%
singularitynet;agix;7;56%;23%;69%;18%;1;10;100;;10;21;-88;0;0;55;29;36;40;53;43;3;-5%;2%;17%
the-graph;grt;7;53%;10%;87%;38%;0;11;100;;11;14;-131;0;0;46;48;37;36;52;52;2;0%;3%;3%
creditcoin-2;ctc;7;65%;20%;31%;43%;0;100;1;;10;6;-103;0;0;48;26;46;36;42;38;1;-3%;-18%;-43%
astar;astr;7;71%;67%;20%;-1%;10;0;0;;0;17;51;10;1;32;71;6;53;42;22;0;-3%;-4%;-2%
decred;dcr;7;30%;11%;48%;44%;0;1;100;;11;0;-125;0;1;61;55;44;38;47;51;0;-7%;5%;-36%
chronobank;time;7;39%;60%;62%;28%;1;110;0;;10;3;23;0;0;38;8;48;41;56;39;2;43%;-15%;54%
verse-bitcoin;verse;7;43%;12%;55%;0%;0;1;100;;11;0;-124;0;2;73;72;13;20;44;28;1;0%;15%;-35%
force-protocol;for;7;23%;53%;75%;33%;1;110;0;;10;13;1;0;1;52;36;60;49;61;43;3;2%;32%;20%
ontology;ont;7;47%;7%;76%;31%;0;11;100;;11;8;-139;0;1;49;56;38;36;48;49;1;2%;1%;-5%
my-neighbor-alice;alice;7;66%;9%;64%;42%;0;11;100;;11;7;-132;0;0;47;47;43;33;47;49;3;0%;-1%;-8%
zilliqa;zil;7;52%;8%;83%;22%;0;11;100;;11;5;-132;0;0;44;49;37;32;50;46;2;-2%;14%;8%
kava-lend;hard;7;33%;9%;92%;26%;0;11;100;;11;4;-138;0;0;53;45;51;33;56;51;2;2%;4%;-11%
gmx;gmx;7;111%;5%;23%;50%;0;0;10;;1;17;-140;10;1;33;40;62;30;28;49;3;1%;12%;30%
iexec-rlc;rlc;7;41%;41%;59%;25%;1;110;0;;10;17;-36;0;0;54;23;44;45;53;37;1;-4%;-16%;-41%
solve-care;solve;7;38%;36%;30%;29%;1;100;10;;10;4;-55;0;1;59;43;53;42;48;44;2;1%;-24%;-44%
steem;steem;7;35%;9%;65%;37%;0;10;101;;10;11;-135;0;0;51;43;48;38;49;47;2;0%;-13%;-24%
ceek;ceek;7;56%;7%;39%;51%;0;1;101;;11;1;-140;0;1;47;83;48;21;34;51;1;1%;-5%;-7%
woo-network;woo;7;64%;15%;79%;77%;0;1;110;;11;19;-113;0;0;53;41;34;40;54;63;2;0%;1%;7%
concordium;ccd;7;37%;0%;36%;28%;0;1;100;;1;2;-165;10;1;37;46;83;29;36;48;2;1%;-1%;-2%
gamefi;gafi;7;251%;17%;45%;100%;0;0;11;;11;3;-100;0;0;53;51;54;23;46;61;3;1%;1%;1%
waves;waves;7;62%;11%;85%;17%;0;11;100;;11;0;-127;0;1;51;59;51;39;50;46;2;4%;8%;8%
lattice-token;ltx;7;167%;8%;19%;35%;0;0;101;;10;0;-147;0;1;42;76;24;27;44;44;0;0%;-14%;-7%
route;route;7;97%;17%;49%;36%;100;1;100;;11;8;-110;10;0;42;52;38;40;45;47;1;0%;-4%;-3%
superrare;rare;7;48%;15%;54%;45%;0;110;110;;10;6;-113;0;0;49;52;48;32;52;48;2;0%;10%;-57%
ooki;ooki;7;84%;6%;47%;24%;0;1;100;;11;3;-143;10;1;30;52;61;29;44;46;2;0%;-2%;-27%
osmosis;osmo;7;62%;3%;57%;3%;0;10;100;;11;3;-158;0;1;28;62;33;23;40;40;1;-3%;2%;2%
aurora-near;aurora;7;93%;13%;48%;100%;0;1;101;;11;0;-121;0;1;50;75;40;22;47;63;0;0%;-4%;3%
qtum;qtum;7;50%;11%;79%;33%;0;11;100;;11;8;-120;10;0;47;42;36;37;50;49;2;0%;5%;-5%
kucoin-shares;kcs;7;84%;4%;79%;62%;0;11;101;;11;11;-157;10;1;20;42;58;19;46;57;1;-3%;-1%;4%
wax;waxp;6;57%;9%;43%;14%;0;10;100;;10;5;-133;0;0;32;55;37;30;41;41;2;0%;12%;-9%
funfair;fun;6;42%;31%;27%;7%;0;100;100;;11;0;-58;0;1;66;52;33;42;46;42;0;-7%;-5%;-17%
ampleforth;ampl;6;44%;20%;11%;2%;100;0;0;;1;5;-97;0;2;63;68;36;42;35;34;1;7%;-13%;-3%
wanchain;wan;6;31%;32%;41%;0%;1;10;0;;10;9;-64;0;0;49;54;18;45;44;26;3;0%;12%;54%
eos;eos;6;53%;12%;56%;24%;0;10;100;;11;2;-121;0;0;45;55;34;34;46;43;3;0%;2%;7%
everipedia;iq;6;39%;18%;51%;35%;0;10;1;;10;15;-101;0;0;32;45;46;38;45;42;0;0%;-4%;-30%
victoria-vr;vr;6;68%;16%;29%;-1%;0;10;100;;10;6;-121;0;1;56;42;23;40;43;29;3;0%;0%;2%
digibyte;dgb;6;38%;14%;53%;35%;0;1;100;;11;7;-105;0;0;53;45;46;38;47;47;3;4%;4%;8%
klay-token;klay;6;41%;7%;36%;13%;0;0;100;;11;4;-139;0;1;48;64;44;31;41;45;1;-15%;17%;-5%
kaspa;kas;6;157%;49%;28%;27%;110;0;0;;0;34;-3;10;0;36;55;44;53;45;40;2;2%;1%;-9%
rif-token;rif;6;52%;21%;34%;31%;0;10;1;;10;9;-89;0;1;59;52;24;38;44;43;2;0%;3%;1%
rmrk;rmrk;6;31%;8%;49%;16%;0;10;100;;10;5;-149;0;1;56;55;38;35;43;40;2;15%;20%;28%
icon;icx;6;63%;8%;65%;37%;0;10;100;;11;11;-135;0;0;39;53;30;33;46;48;2;-4%;17%;18%
blockstack;stx;6;79%;11%;32%;42%;0;0;101;;11;13;-131;10;1;51;74;40;37;40;49;2;0%;3%;-5%
bitcoin-cash;bch;6;74%;21%;25%;31%;100;0;101;;1;20;-97;0;1;41;60;31;49;40;47;2;1%;6%;-11%
terra-luna-2;luna;6;103%;9%;31%;20%;0;0;100;;11;0;-133;0;1;41;60;38;25;40;44;2;1%;5%;-14%
pundi-x-2;pundix;6;37%;12%;68%;11%;0;10;0;;10;4;-121;0;0;36;34;55;37;52;42;1;1%;-17%;-34%
storm;stmx;6;183%;44%;70%;27%;100;10;0;;10;6;-19;0;0;32;20;47;48;53;44;2;-1%;-16%;21%
balancer;bal;6;64%;8%;40%;31%;0;1;100;;11;1;-140;0;0;33;55;54;26;41;47;2;-1%;0%;10%
hive;hive;6;47%;8%;68%;12%;0;10;100;;10;4;-137;0;0;37;44;39;34;47;43;1;0%;-6%;-17%
aurory;aury;6;180%;37%;10%;101%;0;0;11;;1;2;-45;0;0;21;20;48;45;27;68;2;-1%;12%;267%
yearn-finance;yfi;6;45%;11%;32%;0%;0;0;100;;11;4;-130;10;1;43;63;31;34;43;37;1;-1%;3%;-1%
shiba-inu;shib;6;48%;36%;16%;54%;10;0;1;;1;13;-58;0;0;37;44;52;43;35;51;2;1%;10%;14%
matrix-ai-network;man;6;46%;10%;0%;7%;0;0;0;;10;26;-145;10;2;75;59;46;38;37;28;0;10%;-22%;-44%
stratis;strax;6;38%;12%;68%;46%;0;10;1;;10;8;-127;0;0;33;39;53;36;50;49;2;0%;-7%;3%
playdapp;pla;6;36%;9%;61%;31%;0;10;100;;11;0;-131;0;0;46;51;43;36;43;46;2;1%;16%;-29%
sharering;shr;6;48%;23%;49%;38%;0;10;1;;10;11;-84;0;1;52;59;51;37;47;47;3;0%;24%;25%
metis-token;metis;6;112%;14%;37%;44%;0;0;1;;11;8;-122;0;1;44;61;48;26;42;48;2;-7%;9%;21%
keep3rv1;kp3r;6;52%;8%;45%;29%;0;0;100;;11;2;-141;0;1;38;73;42;32;42;47;1;-2%;7%;-4%
wazirx;wrx;6;61%;31%;32%;24%;0;0;100;;11;5;-62;0;1;47;62;40;40;42;46;0;0%;-9%;-8%
digitalbits;xdb;6;157%;41%;23%;20%;10;0;0;;1;0;-34;0;0;47;42;33;38;37;41;0;1%;-22%;-35%
theta-fuel;tfuel;6;53%;10%;46%;7%;0;0;100;;11;7;-132;0;1;37;64;48;34;42;41;1;2%;-4%;-26%
algorand;algo;6;45%;14%;67%;21%;0;10;100;;10;3;-121;0;1;57;47;30;29;50;44;2;1%;1%;0%
kava;kava;6;75%;8%;15%;37%;0;0;100;;1;1;-136;0;1;45;65;45;33;36;48;2;1%;9%;17%
civic;cvc;6;44%;10%;61%;36%;0;10;0;;10;2;-134;0;1;43;73;43;34;47;47;1;0%;-8%;-25%
chain-2;xcn;6;88%;9%;3%;18%;0;0;100;;11;0;-136;0;2;81;66;41;20;40;41;0;-1%;-14%;-10%
moonbeam;glmr;6;53%;8%;42%;33%;0;0;0;;11;3;-142;0;2;50;69;64;30;38;47;2;2%;17%;1%
humans-ai;heart;6;229%;14%;21%;100%;0;0;11;;11;18;-109;0;0;42;46;52;24;37;58;0;-1%;0%;-8%
fio-protocol;fio;6;27%;6%;20%;64%;0;0;1;;11;5;-149;0;2;61;65;43;34;43;54;3;0%;6%;31%
uma;uma;6;32%;10%;64%;21%;0;10;100;;10;3;-128;0;1;57;39;39;34;52;44;2;1%;6%;-30%
alpaca-finance;alpaca;6;29%;13%;32%;32%;0;0;1;;10;3;-131;0;1;28;61;34;32;43;41;1;-2%;6%;3%
milk-alliance;mlk;6;50%;15%;63%;31%;0;10;1;;10;5;-112;0;1;40;43;59;36;50;42;2;-7%;-13%;53%
joe;joe;6;108%;28%;28%;34%;1;100;1;;10;18;-77;0;0;46;53;33;41;45;41;0;10%;-12%;-16%
seedify-fund;sfund;6;47%;-1%;17%;50%;0;0;10;;1;3;-169;0;1;46;34;75;28;33;47;2;0%;-11%;-2%
vite;vite;6;34%;8%;34%;10%;0;0;100;;11;5;-143;0;2;59;62;43;32;43;39;2;1%;43%;0%
apecoin;ape;6;92%;8%;12%;42%;0;0;101;;11;7;-140;0;0;46;35;40;26;33;50;3;6%;27%;104%
internet-computer;icp;6;42%;2%;54%;33%;0;1;100;;11;7;-154;0;1;49;60;33;32;43;49;2;-5%;6%;11%
kardiachain;kai;6;29%;20%;31%;51%;0;1;10;;11;1;-105;0;0;47;43;52;39;46;47;1;-1%;-2%;2%
metahero;hero;6;33%;16%;12%;42%;0;10;1;;10;8;-113;0;1;51;56;51;31;44;48;0;1%;3%;-7%
babb;bax;6;80%;12%;43%;26%;0;10;0;;10;25;-130;10;1;63;55;55;35;46;41;0;0%;-22%;-18%
sonm;snm;6;1015%;12%;27%;48%;0;0;10;;11;10;-116;10;2;21;57;76;18;36;49;1;-2%;11%;-5%
titanswap;titan;6;102%;10%;37%;29%;0;0;101;;11;0;-126;0;1;52;72;40;24;43;47;1;6%;-11%;-12%
netvrk;ntvrk;6;162%;12%;30%;41%;0;1;100;;11;1;-128;0;1;34;38;66;30;44;50;4;1%;7%;5%
dock;dock;6;51%;21%;64%;25%;0;10;100;;10;10;-104;0;0;52;38;37;39;53;45;1;13%;-11%;-63%
vidt-dao;vidt;6;48%;7%;54%;34%;0;10;100;;11;12;-139;10;0;53;54;52;28;46;48;3;-1%;2%;-2%
stacktical;dsla;6;189%;14%;60%;-1%;0;1;100;;11;20;-117;0;0;50;53;23;32;49;31;2;0%;-8%;-13%
viberate;vib;6;43%;23%;71%;6%;0;10;100;;10;12;-97;0;0;50;39;46;36;56;42;1;-1%;-4%;18%
proton;xpr;6;49%;13%;54%;16%;0;10;0;;10;0;-123;0;2;46;57;62;28;45;44;0;0%;-10%;-11%
cortex;ctxc;6;51%;15%;43%;49%;0;10;1;;10;22;-117;0;0;54;31;41;36;46;51;1;-25%;-10%;-68%
benqi;qi;6;41%;14%;64%;16%;0;10;100;;10;10;-120;0;1;57;50;32;35;49;40;2;3%;23%;6%
republic-protocol;ren;6;66%;2%;26%;52%;0;1;110;;11;2;-153;0;0;43;32;53;30;40;52;3;0%;1%;14%
floki;floki;6;79%;9%;32%;45%;0;0;100;;11;14;-140;10;1;54;72;46;34;39;50;1;-6%;2%;3%
holotoken;hot;6;45%;10%;49%;13%;0;10;100;;10;10;-128;0;0;47;54;43;29;45;43;4;-1%;41%;41%
pha;pha;6;41%;28%;51%;21%;0;110;0;;10;7;-71;0;0;50;16;36;42;52;44;1;0%;-16%;-75%
power-ledger;powr;6;34%;19%;67%;18%;0;10;100;;10;5;-109;10;0;48;27;38;43;49;41;2;0%;-21%;-25%
strike;strk;5;27%;11%;42%;21%;0;10;0;;10;4;-127;0;1;52;39;59;38;44;42;1;0%;8%;-44%
quant-network;qnt;5;13%;20%;34%;14%;0;0;0;;10;6;-113;0;2;59;67;33;42;45;40;2;0%;7%;16%
swash;swash;5;71%;22%;19%;47%;0;0;1;;11;7;-105;0;0;39;47;50;38;41;48;0;-1%;-3%;-3%
terrausd;ustc;5;67%;21%;31%;34%;0;0;100;;1;0;-85;0;0;41;41;47;38;40;48;0;0%;-29%;-44%
oraichain-token;orai;5;88%;11%;8%;21%;0;0;0;;10;18;-128;10;1;55;66;36;36;41;38;1;11%;-4%;-5%
zcash;zec;5;45%;12%;52%;20%;0;10;0;;10;0;-121;0;0;48;55;26;37;46;39;0;-1%;1%;0%
amp-token;amp;5;49%;14%;20%;25%;0;0;0;;11;10;-126;10;1;46;61;34;33;40;42;0;0%;-15%;-34%
terra-luna;lunc;5;74%;8%;32%;25%;0;0;100;;11;0;-136;0;0;35;50;44;27;41;47;2;2%;3%;-4%
walken;wlkn;5;1194%;33%;12%;59%;1;0;1;;11;4;-50;0;0;48;46;34;22;37;52;1;-1%;-3%;-4%
tribe-2;tribe;5;19%;12%;52%;27%;0;10;0;;10;14;-126;10;2;47;56;59;43;47;47;2;0%;-17%;-21%
quark-chain;qkc;5;47%;9%;25%;81%;0;0;1;;11;7;-134;10;0;38;55;53;36;41;57;2;0%;14%;8%
golem;glm;5;46%;15%;63%;28%;0;10;0;;10;7;-114;0;1;37;36;56;39;48;43;1;-2%;-17%;-41%
lisk;lsk;5;38%;11%;37%;31%;0;0;1;;10;7;-128;0;1;44;47;56;38;43;40;1;-2%;-10%;-74%
dopex;dpx;5;138%;21%;27%;45%;0;0;101;;11;1;-87;0;0;42;45;40;29;39;50;1;0%;-11%;-7%
dogechain;dc;5;72%;31%;0%;-1%;0;0;0;;10;2;-79;0;1;53;66;23;41;41;29;1;1%;-18%;-22%
convex-finance;cvx;5;78%;12%;11%;18%;0;0;0;;1;9;-115;0;0;39;40;36;31;31;40;1;-14%;12%;18%
acala;aca;5;102%;13%;53%;21%;0;10;0;;10;0;-112;0;0;40;39;26;35;48;41;1;-3%;-23%;-63%
gala;gala;5;63%;-3%;16%;58%;0;0;10;;1;8;-179;0;1;39;11;57;28;23;47;3;1%;8%;67%
harvest-finance;farm;5;41%;14%;51%;23%;0;10;0;;10;2;-126;0;0;50;24;55;34;48;45;3;-1%;0%;87%
lazio-fan-token;lazio;5;30%;14%;2%;11%;0;0;0;;1;0;-137;0;1;47;57;43;38;35;39;2;-6%;-5%;-2%
venus;xvs;5;46%;17%;27%;6%;0;0;100;;10;14;-106;0;0;46;36;46;38;45;41;3;0%;30%;269%
openanx;oax;5;111%;10%;34%;13%;0;10;0;;10;12;-127;10;0;47;53;13;30;45;30;1;4%;-34%;-65%
gains-network;gns;5;66%;0%;51%;38%;0;1;100;;1;26;-173;10;0;37;44;52;33;38;54;1;1%;-5%;-31%
dero;dero;5;113%;8%;23%;17%;0;0;100;;11;21;-135;10;0;38;47;46;24;38;44;3;0%;16%;-13%
boba-network;boba;4;23%;6%;30%;73%;0;0;1;;11;2;-145;0;2;60;52;58;29;39;55;0;-1%;-3%;-3%
epik-prime;epik;4;65%;10%;11%;2%;0;0;0;;0;8;-140;0;0;40;37;24;36;31;28;2;-2%;12%;3%
verge;xvg;4;490%;31%;10%;13%;100;0;0;;0;13;-63;0;0;35;36;16;46;34;32;1;2%;0%;-16%
pnetwork;pnt;4;91%;20%;23%;17%;0;0;100;;10;5;-108;0;0;55;48;30;37;43;42;1;0%;-2%;-8%
covalent;cqt;4;61%;12%;27%;-1%;0;1;0;;11;19;-122;0;0;42;34;40;32;43;30;1;-2%;-12%;-4%
redfox-labs-2;rfox;4;81%;3%;12%;0%;0;0;0;;10;16;-146;10;1;39;56;34;32;37;30;2;15%;28%;-1%
wink;win;4;23%;9%;29%;25%;0;0;0;;11;3;-139;0;1;53;73;34;34;40;43;1;-1%;-4%;2%
qredo;qrdo;4;176%;21%;24%;0%;0;0;0;;10;2;-86;0;1;43;56;8;29;41;22;0;1%;-8%;-20%
paris-saint-germain-fan-token;psg;4;28%;14%;11%;18%;0;0;0;;11;0;-116;0;1;50;56;14;33;39;38;3;24%;5%;-3%
gamium;gmm;4;123%;7%;13%;26%;0;0;0;;1;8;-133;10;1;46;59;53;31;27;34;1;0%;-2%;0%
telos;tlos;4;186%;17%;7%;28%;0;0;0;;1;7;-103;0;0;41;45;51;34;26;35;2;0%;-3%;-2%
green-satoshi-token;gst-sol;4;73%;10%;14%;1%;0;0;0;;10;0;-124;0;1;29;62;49;25;40;33;1;-1%;2%;2%
orion-protocol;orn;4;51%;5%;15%;12%;0;0;100;;10;2;-147;0;0;54;52;30;32;36;36;2;3%;0%;2%
hydra;hydra;4;423%;23%;15%;37%;0;100;1;;10;1;-79;0;0;20;23;45;22;37;44;0;0%;-20%;-16%
noia-network;noia;3;64%;6%;-1%;26%;0;0;0;;10;4;-138;0;0;52;45;38;33;33;32;3;4%;9%;16%
stader;sd;3;109%;17%;8%;33%;0;0;1;;1;17;-124;0;0;54;26;18;36;13;33;3;-1%;7%;26%
constellation-labs;dag;3;56%;16%;-3%;8%;0;0;0;;0;2;-112;10;0;46;24;1;37;28;33;2;3%;6%;8%
