tokens;tickers;Total tests;Ecart BB 4d;Position % BB 4d;Position % BB 4h;Position % BB 30m;Tests MM 4d;Tests MM 4h;Tests MM 30m;"Combo RSI";"Tests RSI";Surventes RSI 4d;Surachats RSI 4d;Tests CCI;Test CHOP;chop 4d;chop 4h;chop 30m;Charged chop 4d;Charged chop 4h;Charged chop 30m;notation vol;var vol 1 jour;var vol 7 jours;var vol 14 jours
arweave;ar;9;67%;9%;92%;75%;0;11;111;;11;4;-135;0;0;44;45;45;31;55;67;2;3%;15%;2%
juventus-fan-token;juv;9;22%;13%;54%;26%;0;1;110;;11;3;-126;0;1;46;63;31;38;46;44;1;18%;-22%;-43%
aavegotchi;ghst;9;38%;14%;40%;56%;0;101;110;;11;7;-118;0;1;43;60;22;36;48;53;1;-1%;-8%;-28%
karura;kar;9;109%;26%;50%;81%;0;10;11;;11;0;-70;0;1;53;66;50;35;48;58;2;0%;1%;-2%
coinweb;cweb;9;104%;35%;84%;14%;1;111;100;;10;19;-47;0;0;32;-4;52;40;85;48;3;-1%;0%;9%
synapse-2;syn;9;126%;12%;70%;71%;0;1;110;;11;6;-125;0;1;34;64;25;32;54;58;2;0%;23%;-13%
linear;lina;9;66%;9%;83%;47%;100;11;110;;11;12;-146;0;1;58;52;51;43;53;51;1;0%;-12%;-10%
alpha-finance;alpha;9;61%;5%;57%;51%;0;11;101;;11;10;-146;0;1;49;62;36;31;45;53;1;0%;1%;-13%
fx-coin;fx;9;28%;25%;70%;27%;1;111;100;;10;1;-82;0;0;42;48;35;39;57;45;3;7%;10%;-22%
pivx;pivx;9;77%;24%;44%;29%;1;110;1;;10;11;-85;0;1;51;39;63;42;47;43;2;0%;1%;72%
loopring;lrc;9;48%;10%;101%;64%;0;11;111;;11;9;-127;0;0;49;12;21;32;68;62;3;6%;164%;68%
mantra-dao;om;9;50%;14%;78%;49%;0;111;110;;11;5;-117;0;1;50;58;47;35;56;51;1;0%;0%;-23%
celer-network;celr;9;73%;12%;90%;55%;0;11;110;;11;14;-126;0;1;53;63;36;33;50;56;1;-2%;4%;-43%
kambria;kat;8;117%;27%;45%;86%;1;100;11;;11;17;-84;0;1;46;5;56;39;49;57;4;3%;4%;263%
bitshares;bts;8;37%;33%;71%;39%;0;10;101;;10;8;-52;0;1;53;61;45;47;52;50;1;5%;-1%;-10%
step-app-fitfi;fitfi;8;55%;46%;42%;12%;10;0;100;;11;0;-22;0;2;66;61;48;36;43;42;1;0%;-5%;-4%
wing-finance;wing;8;23%;96%;60%;4%;1;110;0;;10;2;131;0;0;51;33;54;53;53;34;4;0%;13%;64%
lukso-token;lyxe;8;90%;32%;27%;35%;0;1;100;;11;27;-60;10;3;59;63;74;40;45;47;2;-60%;26%;81%
nervos-network;ckb;8;25%;21%;56%;20%;0;10;100;;10;12;-120;0;2;60;57;41;41;48;45;1;2%;3%;-11%
litecoin;ltc;8;98%;15%;67%;26%;0;11;100;;11;24;-119;10;1;40;63;40;36;47;46;2;1%;5%;-1%
dash;dash;8;63%;13%;74%;49%;0;11;101;;11;12;-124;0;1;53;56;39;33;50;52;1;1%;2%;-7%
api3;api3;8;53%;70%;34%;9%;11;100;100;;10;5;93;0;0;44;40;52;51;49;41;0;-5%;-16%;8%
scallop;sclp;8;75%;19%;69%;25%;0;11;101;;10;9;-96;0;0;43;48;37;36;54;50;1;0%;-4%;-5%
vaiot;vai;8;88%;5%;38%;99%;0;1;11;;1;23;-153;10;0;52;54;18;36;37;68;0;0%;-5%;-8%
the-sandbox;sand;8;69%;8%;60%;28%;0;11;100;;11;1;-137;0;1;41;66;35;28;43;47;3;3%;1%;4%
hathor;htr;8;54%;12%;16%;42%;0;0;1;;1;6;-135;0;2;55;59;91;39;36;44;1;-1%;7%;5%
biconomy;bico;8;33%;13%;54%;60%;0;1;111;;11;3;-131;0;1;60;47;31;38;49;57;2;0%;6%;-9%
ssv-network;ssv;8;56%;6%;57%;37%;0;1;110;;11;23;-146;0;2;57;64;30;34;45;49;2;3%;3%;6%
nym;nym;8;102%;4%;57%;71%;0;10;11;;11;4;-142;0;0;29;50;54;27;39;51;2;0%;2%;-2%
derace;derc;8;24%;36%;18%;47%;10;0;1;;1;3;-48;10;3;56;80;71;46;36;49;2;-2%;-3%;5%
enjincoin;enj;8;50%;7%;80%;55%;0;11;101;;11;11;-136;0;0;41;45;44;30;50;55;2;1%;6%;4%
akash-network;akt;8;636%;62%;35%;8%;110;0;100;;1;21;36;10;0;7;55;14;56;42;36;2;-4%;3%;16%
badger-dao;badger;8;31%;29%;81%;41%;0;11;100;;10;3;-110;0;0;41;44;54;43;56;53;2;6%;-3%;-4%
dusk-network;dusk;8;62%;8%;68%;72%;0;1;111;;11;11;-145;0;0;47;44;38;36;49;65;2;0%;10%;5%
vechain;vet;8;38%;9%;69%;35%;0;11;100;;11;10;-135;0;2;51;65;58;37;47;51;2;-11%;1%;10%
ethereum-classic;etc;8;40%;11%;48%;51%;0;1;101;;11;0;-128;0;1;45;77;39;36;44;52;2;1%;6%;0%
ecash;xec;8;91%;21%;47%;20%;100;10;100;;10;4;-95;0;1;52;70;40;40;43;41;0;-3%;-5%;-7%
defichain;dfi;8;59%;40%;100%;69%;1;11;110;;11;0;-33;0;0;30;15;28;42;73;77;3;-1%;1%;6%
automata;ata;8;53%;33%;66%;39%;1;101;100;;11;9;-63;0;1;53;58;40;40;53;51;2;4%;27%;-22%
axelar;axl;8;25%;32%;76%;0%;0;110;100;;10;1;-61;0;1;59;40;1;39;62;27;4;0%;45%;28%
pluton;plu;8;102%;20%;32%;100%;0;1;11;;11;9;-100;0;1;42;42;70;33;42;61;2;5%;2%;8%
bosagora;boa;8;66%;17%;58%;87%;0;10;1;;11;0;-114;0;1;30;52;62;31;44;56;0;0%;-8%;-8%
nimiq-2;nim;8;88%;11%;67%;69%;0;1;10;;11;17;-128;10;2;59;65;7;26;49;55;2;10%;0%;21%
hegic;hegic;8;51%;10%;36%;86%;0;0;101;;11;25;-133;10;2;53;80;91;36;46;56;1;-1%;0%;-4%
ocean-protocol;ocean;8;33%;37%;78%;0%;1;11;100;;10;19;-51;0;0;45;36;28;47;56;40;4;-5%;6%;12%
og-fan-token;og;8;41%;65%;38%;46%;11;100;1;;10;7;61;0;0;50;19;36;48;45;46;2;-9%;-55%;-57%
singularitydao;sdao;8;54%;12%;50%;100%;0;1;111;;1;8;-123;0;0;49;42;-7;41;45;86;1;0%;0%;0%
parsiq;prq;8;62%;10%;34%;90%;0;101;11;;11;12;-139;0;1;52;59;49;36;48;60;2;0%;3%;3%
orchid-protocol;oxt;8;98%;69%;66%;30%;11;10;0;;10;9;82;0;0;26;15;45;52;53;39;4;13%;24%;253%
flamingo-finance;flm;8;44%;13%;100%;52%;0;11;110;;11;2;-124;0;1;59;25;37;39;64;56;4;29%;239%;84%
nuls;nuls;8;34%;23%;78%;9%;1;110;100;;10;16;-90;0;0;55;35;32;40;59;40;2;-6%;-2%;19%
