tickers,cours,total_tests,ecart_BB_w,position_prix_BB_w,position_prix_BB_d,position_prix_BB_h4,ZL_MACD_hist,Tests_MM_w,Tests_MM_d,Tests_MM_h4,Tests_RSI,combo_rsi,Tests_CCI,combo_cci,CHOP_w,combo_chop,Hammer_1w,Hammer_1d,Tests_VOL,VOL_var_1d,VOL_var_7d,VOL_var_14d
AKRO,0.000981,1.0,1.9976332850383438,-0.5228347241507031,0.10720718770832524,-0.006456110437408323,10.0,0.0,0.0,0.0,10.0,,10.0,oversold,29.649318217267744,,378.0,123.0,0.0,-0.10711867014037121,3.294880934510571,1.913881503421844
ALCX,9.64,9.0,5.025428312830084,0.21570437076698212,0.16660163241366063,0.6660992837078733,101.0,0.0,0.0,1.0,100.0,,101.0,,40.00339056810475,,35.0,18.0,1.0,-0.28374494290430813,-0.36136093989822626,0.19001403007842757
ALGO,0.1789,8.0,3.2730282910829795,0.15353006955901422,0.08304077635371417,0.3159782360113601,1.0,100.0,10.0,1.0,100.0,,100.0,,46.753961878584036,,504.0,56.0,1.0,-0.37143858133808727,-0.005931736802665359,-0.4826289807435909
ALICE,0.452,7.0,12.65861923624429,0.19125335103131055,0.03153081387015274,0.6085051278361141,101.0,0.0,0.0,1.0,0.0,,101.0,,37.558136278757594,,35.0,31.0,2.0,-0.10784112140395673,0.5108662819256912,-0.07584477878847103
ALPACA,0.0534,3.0,13.543524985646117,0.1483685229995089,0.1782863478802048,0.44802556385964787,100.0,0.0,0.0,10.0,100.0,,1.0,,48.147297004901866,,364.0,56.0,1.0,10.318262005287117,-0.6062057890496243,-0.48403430504410105
ALPHA,0.0345,5.0,12.660625307533579,0.21821751721686425,0.0415257215960218,0.40518323649209376,101.0,0.0,0.0,1.0,100.0,,101.0,,36.90578982722664,,35.0,13.0,0.0,-0.1408449663080094,0.03255635913690729,-0.46652607912338195
ALPINE,0.807,4.0,1.7964576777996863,0.16291133844359837,-0.0016767142741656873,0.23022187720185455,101.0,0.0,0.0,0.0,100.0,,1.0,,45.51276065559697,,-1.0,30.0,1.0,-0.2388072020369591,0.1546911325781066,-0.4687937757469423
AMB,0.00032,0.0,30.992870750090894,-0.17710688698136495,0.06569584842945804,0.19805875498150893,0.0,0.0,0.0,0.0,0.0,,0.0,oversold,34.65681999155818,,-1.0,56.0,2.0,-0.3923717747354678,15.891496856194143,8.896456822289188
AMP,0.003807,3.0,3.8623781826359562,0.18916061848845964,-0.011701430334739459,0.14926847780978364,100.0,100.0,0.0,0.0,100.0,,100.0,oversold,43.02728495895108,,-1.0,31.0,1.0,-0.7211027500921532,-0.3191202239220146,-0.32453539130562514
ANKR,0.01767,6.0,5.528301872497158,0.22440681680170652,0.3475345253861073,0.28869158862974326,101.0,0.0,10.0,1.0,100.0,,101.0,,37.6625525229134,,35.0,13.0,1.0,-0.22363200499888747,8.101757772868282,3.540454797558766
ANT,7.407,16.0,0.684460945995287,1.0330322082396934,0.8836147799559521,0.8344433383765706,100.0,111.0,111.0,111.0,111.0,overbuyed,111.0,,53.17904182303899,,819.0,408.0,1.0,3.6504964978713432,-0.6859501242950292,1.1550043391852665
APE,0.4729,7.0,13.023414943885141,0.20745009721532112,0.07472700113612751,0.41463867874035737,101.0,100.0,0.0,1.0,100.0,,101.0,,36.022618183066776,,35.0,56.0,0.0,-0.22793020067663874,-0.3301911329080114,-0.32257783130011164
API3,1.127,9.0,10.726809735333157,0.4014740231001978,0.6523918246325744,0.5798462462389598,101.0,1.0,110.0,1.0,1.0,,101.0,,45.2438870876534,,35.0,31.0,1.0,-0.15154614364616553,-0.6546713315492017,6.568897237406927
APT,5.279,8.0,5.411650059091466,0.2516614402396091,0.29580845874306166,0.43046127616068336,101.0,100.0,10.0,1.0,100.0,,1.0,,46.49410117246768,,112.0,8.0,1.0,-0.22910814916955682,-0.15322091115806358,-0.5765012733854422
AR,6.34,7.0,31.777759018035763,0.21517855829854063,0.26640316381479634,0.37729885827552845,101.0,0.0,10.0,1.0,0.0,,1.0,,36.97426411242451,,35.0,13.0,1.0,-0.22757982488851078,-0.14971031216021424,-0.3010133228815605
ARB,0.3302,6.0,7.754877807427565,0.2002580062962134,0.08615664416522284,0.3814105424506626,101.0,0.0,0.0,1.0,100.0,,101.0,,35.96638155337789,,35.0,13.0,1.0,-0.25050177780788263,0.041447583932112904,-0.45255557328924223
ARDR,0.05666,6.0,2.1926165423216024,0.18859352588557327,0.04734594097833138,0.40201552016546976,101.0,100.0,0.0,1.0,100.0,,101.0,,39.78044806771318,,273.0,31.0,1.0,-0.39897682330620243,0.1067864442678852,-0.18665618536560452
ARK,0.3043,5.0,2.7663331833418,0.17246923849235118,0.012202838682273093,0.28101367116002735,101.0,0.0,0.0,1.0,100.0,,100.0,,50.078648523774646,,336.0,27.0,1.0,-0.26009035469936037,-0.46773634794279895,0.3683135102090889
ARKM,0.509,5.0,25.161637175844213,0.23832564465621503,0.20254294100274178,0.1914433265339456,101.0,0.0,10.0,0.0,0.0,,1.0,,38.668726429088245,,378.0,13.0,0.0,-0.06494230625386735,-0.3248237944436484,-0.43310100826006687
ARPA,0.02602,8.0,3.4105853887017163,0.18143724259736088,0.13188405401867564,0.4036678359962525,101.0,0.0,0.0,1.0,100.0,,101.0,,45.982685469246796,,35.0,56.0,1.0,-0.00658445190365663,-0.751907977026375,1.1818425084466766
ASR,1.188,10.0,1.8687075206386754,0.1953332170718534,0.2580314444034191,0.6878152778917717,101.0,0.0,0.0,1.0,0.0,,1.0,,47.69452988662397,,35.0,56.0,0.0,-0.03712014888748664,-0.05503700966777621,-0.48453267510294934
ASTR,0.02943,7.0,5.121294783583592,0.1998903886842236,0.0674114119107893,0.27280584273989456,101.0,0.0,0.0,1.0,100.0,,101.0,,38.3869336970232,,392.0,0.0,1.0,-0.5468860383513692,0.02976835821653983,-0.5381388929106409
ATA,0.058,8.0,10.493128023152334,0.2536221775014659,0.4618432606315788,0.44173783251879356,101.0,0.0,10.0,0.0,101.0,,101.0,,23.480947355814635,,35.0,31.0,0.0,-0.2710003872377731,-0.033239623630225354,0.61190933227624
ATM,1.181,6.0,1.9028992209424782,0.1714401573953809,0.10190243138566228,0.5025585053561161,101.0,0.0,0.0,1.0,0.0,,101.0,,36.89195314456488,,35.0,13.0,0.0,-0.37494769577036186,1.1152987334205238,-0.039280129177400216
ATOM,4.395,10.0,2.9810870631556616,0.26663322298006403,0.3449962928490316,0.6109021017420943,101.0,100.0,110.0,1.0,101.0,,100.0,,46.19080526457918,,35.0,12.0,0.0,-0.4088365359809532,-0.25123074950381163,-0.2903970498876397
AUCTION,15.69,5.0,3.6347614090675306,0.4523073561226604,0.21393610657132797,0.11857089068627569,10.0,110.0,100.0,0.0,110.0,,110.0,,24.337595168601545,,112.0,56.0,0.0,-0.5910152609662266,-0.2301680927514981,1.099051847326728
AUDIO,0.0759,1.0,4.525452163944098,0.20191635938516073,-0.0037155595992686206,0.3065846027066787,100.0,0.0,0.0,0.0,100.0,,101.0,,48.37793332941699,,35.0,27.0,1.0,-0.6702197069751982,0.47008871252652457,-0.6304680390940653
AVA,0.5454,6.0,11.755661835181295,0.2819091137859744,0.057703013323188244,0.45011840145111437,101.0,100.0,0.0,1.0,100.0,,100.0,,36.742204741844056,,35.0,13.0,0.0,-0.26815285877411205,-0.26032637954010135,-0.755940625017596
AVAX,18.79,7.0,4.488447092392917,0.2017037986841322,0.3191277653436834,0.23950637735575286,101.0,100.0,10.0,1.0,100.0,,101.0,,38.37121219219436,,35.0,31.0,1.0,0.010041839567792142,0.14287435166037837,-0.50967616006482
AXS,2.934,7.0,5.5566568174985,0.19237366563794578,0.05802703094502871,0.45610679248904,101.0,0.0,0.0,1.0,100.0,,101.0,,36.53429073929542,,35.0,13.0,0.0,-0.4127861959323713,0.38348888385085944,-0.5446467460859808
BADGER,1.428,8.0,2.8292170872597864,0.006416060660330112,0.04215237212328248,0.44956554250986686,1.0,100.0,0.0,1.0,100.0,,100.0,,39.2959682861741,,35.0,31.0,1.0,0.2558434744038978,-0.32304032649167297,-0.5159484097852894
BAKE,0.1311,5.0,6.231448577877946,0.22719100467410402,0.2206096859904016,0.457083858867209,100.0,0.0,0.0,0.0,0.0,,101.0,,47.92878166485475,,35.0,8.0,0.0,-0.1855293039059352,-0.757486006442843,0.17957127900896772
BAL,1.327,6.0,3.155088857978538,0.1616215135086194,0.063186585044998,0.3642610882130157,101.0,0.0,0.0,1.0,100.0,,100.0,,39.86767854404397,,35.0,13.0,1.0,-0.1737657582991073,-0.23885336676011773,-0.3450535016539289
BAND,0.726,8.0,4.632658969212062,0.19978622785841588,0.11537395808634633,0.40775225922099395,101.0,0.0,0.0,1.0,100.0,,101.0,,45.2499200994349,,35.0,31.0,1.0,-0.3928340687028063,-0.2536556660475583,-0.0924818463438605
BAR,1.672,6.0,1.005877465953653,0.2861340832157982,0.2524663912675093,0.5211776548113151,101.0,0.0,100.0,1.0,100.0,,101.0,,52.6725680684511,,133.0,56.0,0.0,-0.38067193358471474,0.05849280506225685,-0.4956667650095884
BAT,0.1367,7.0,2.614547294570058,0.1817619195469973,0.09106165436108606,0.51920560176201,101.0,100.0,0.0,1.0,100.0,,100.0,,42.57072657733514,,35.0,56.0,1.0,-0.5753259144360628,0.051292769850562435,-0.15785488272343917
BCH,304.4,8.0,1.6150024140494341,0.21082366721655288,0.06876911413793013,0.5216463632076365,101.0,100.0,0.0,1.0,0.0,,100.0,,51.938376901065986,,-1.0,56.0,1.0,-0.12650699809342028,0.22331030043434166,-0.6744442718413065
BEL,0.7329,14.0,1.4469506396335563,0.5132713818579937,0.7343833482547635,0.9239899512598154,1.0,110.0,11.0,11.0,100.0,,100.0,,55.636386185926156,,336.0,143.0,2.0,0.09721124135648998,0.8127957786788864,-0.0036414989338877093
BETA,0.02209,13.0,6.692962307502771,0.23687524087511477,0.8463996876976848,1.0308387876035863,101.0,0.0,1.0,11.0,1.0,,101.0,,38.67657834904312,,-1.0,19.0,2.0,2.0962221539099595,-0.2893362819857834,-0.7293329011187477
BICO,0.1118,4.0,12.910967316271764,0.19460737324662397,0.08810500136200905,0.37993551539259524,101.0,0.0,0.0,0.0,0.0,,101.0,,33.71525224977039,,35.0,31.0,1.0,2.679763022136475,-0.09080378878600635,-0.3558249704589035
BIFI,169.4,3.0,2.3886562414578574,0.14084846811792523,0.018375859108548588,0.23693611469371403,100.0,0.0,0.0,0.0,0.0,,101.0,,38.217066057647976,,56.0,12.0,1.0,-0.4374147055511767,-0.11288441750140281,0.5238907425997043
BLZ,0.0582,9.0,1.9476832884121762,-0.08733150319540516,0.1719608703314874,0.2935495179923148,11.0,10.0,0.0,1.0,10.0,,10.0,,50.33124919636203,,-1.0,-1.0,2.0,0.5326425258607406,17.828404502688613,5.338192582603081
BNB,607.2,9.0,0.3257383306666514,0.24495461906510638,0.38362626240463255,0.5454045980245409,101.0,100.0,10.0,1.0,0.0,,100.0,,55.2121684105805,,112.0,56.0,1.0,-0.23100516349864528,-0.006664279125466378,0.07552413219440902
BNT,0.4144,10.0,2.286408428197394,0.20490911901349765,0.5206965079254261,0.6285460569879519,101.0,100.0,10.0,1.0,100.0,,101.0,,41.46698849745257,,35.0,31.0,0.0,0.501676255558921,0.64189531960575,-0.01607378722821644
BNX,1.7819,15.0,15.282396032727672,1.2049196330814438,1.0368769676204388,0.8297892296342316,110.0,11.0,111.0,111.0,11.0,overbuyed,11.0,overbuyed,31.743856572296334,,357.0,56.0,2.0,0.8568396923222792,0.8016977979111404,-0.3077108793185507
BOND,2.152,14.0,2.537785586887662,0.24538649367029564,0.7550030067928433,1.1126342343602795,111.0,1.0,1.0,11.0,1.0,,1.0,,48.613126402324426,,378.0,334.0,2.0,-0.14244529620053847,-0.6458066531586918,2.762707319689129
BSW,0.0325,2.0,5.790284828322105,0.20490571931801005,0.06805216987631978,0.39238329382697906,100.0,0.0,0.0,0.0,100.0,,101.0,,44.63148965004432,,35.0,56.0,1.0,2.654380804966178,-0.5583210664583076,-0.22744961522382776
BTC,82763.99,8.0,0.35428815571259237,0.0879079304510412,0.25848294536767524,0.4478857908352006,1.0,100.0,10.0,1.0,100.0,,100.0,,53.71455576785388,,35.0,31.0,1.0,-0.1566211631788226,0.2411130378299853,-0.4524961481056431
BTS,0.0054,6.0,0.8395660509314844,-0.1832069101885677,0.1963199995181735,0.07181933680013114,10.0,10.0,0.0,0.0,110.0,,100.0,oversold,47.24171437507128,,1050.0,518.0,1.0,2.791813066549543,1.1381762951641452,18.723254689745904
BTTC,6.6e-07,5.0,2.354086036047563,0.19142898497465913,-0.001912196897167518,0.22924307462494606,101.0,100.0,0.0,0.0,100.0,,101.0,,31.25799689661654,,336.0,33.0,1.0,-0.3875897504398427,0.034616981053438266,-0.4365976128873563
BURGER,0.0172,1.0,16.298234242975678,-0.5752464620980854,0.053470249189308226,-0.24200440942028825,0.0,0.0,0.0,0.0,100.0,,100.0,oversold,44.03815458424719,,-1.0,55.0,1.0,1.4862761523180743,4.1405063472961725,0.5600620971375098
C98,0.0628,1.0,17.973827833976113,0.21120775347569262,-0.007255497311630473,0.08275600356415906,100.0,0.0,0.0,0.0,100.0,,101.0,,34.4933962831459,,35.0,26.0,1.0,-0.2885325746467209,-0.16885964150818047,-0.8101564657709416
CAKE,1.974,7.0,2.1812700126489752,0.33056092286391764,0.3422916171031098,0.35618030875985485,101.0,100.0,100.0,1.0,100.0,,100.0,,55.15903137380149,,336.0,56.0,0.0,-0.32810853703771015,-0.6661460717668597,2.646273236376513
CELO,0.33,5.0,5.801598339502011,0.2190534250650615,0.1820343225934066,0.20443078399126252,100.0,0.0,10.0,0.0,0.0,,1.0,,38.266597243442995,,35.0,13.0,2.0,1.3048543541572346,0.12346145123919179,-0.18473035967911483
CELR,0.00913,4.0,5.376280129542799,0.20888150491679022,0.013254836152460786,0.2510307156454799,101.0,100.0,0.0,0.0,100.0,,100.0,,41.087638349209875,,35.0,31.0,1.0,-0.13149786462599086,0.11141062421602864,-0.3735840836029221
CFX,0.0798,6.0,4.572893486017931,0.1866184304494189,0.16099443265520177,0.3996168568341326,101.0,0.0,0.0,1.0,100.0,,101.0,,45.486454759492304,,35.0,31.0,2.0,-0.23264360192755223,-0.36556703235626287,-0.4678596802820133
CHESS,0.0773,4.0,5.816844026127576,0.1703297587222823,-0.0009071853585047926,0.30714025486880986,100.0,0.0,0.0,0.0,100.0,,101.0,,40.45947399589723,,35.0,13.0,1.0,-0.14562310931541808,0.5166586822118517,-0.23656221021950533
CHR,0.0969,7.0,12.400468522210364,0.2310584012890109,0.20193553362389077,0.4559910419832745,101.0,0.0,10.0,1.0,100.0,,101.0,,36.91974670863017,,35.0,31.0,1.0,-0.21393927968429943,0.16753701957599476,-0.27910041203500285
CHZ,0.0423,7.0,5.0055622038783,0.21488660182820007,0.15509982201670247,0.5342804881205242,101.0,0.0,0.0,1.0,100.0,,101.0,,39.97205094026303,,644.0,13.0,1.0,-0.40610733253345394,-0.01423726342928685,-0.5832492654362438
CITY,1.084,6.0,2.484345243359023,0.21864859626596683,0.2662853767488067,0.36651104250055705,101.0,0.0,10.0,0.0,1.0,,1.0,,43.64499064897142,,-1.0,27.0,0.0,0.11936575008557453,-0.38201278400401717,0.0725212792938496
CKB,0.004721,8.0,15.347037865591616,0.22434092056030452,0.19824233833693553,0.3029312261839374,101.0,0.0,10.0,1.0,0.0,,1.0,,37.79786480577441,,-1.0,56.0,0.0,-0.5501802846514463,-0.31225049181202386,0.706029573568868
CLV,0.02937,2.0,7.237811507800148,0.19325777104253622,0.048558312945985345,-0.024877358071907815,0.0,0.0,0.0,0.0,100.0,,100.0,oversold,45.57003347885718,,-1.0,-1.0,2.0,-0.3482675192775172,1.0492904796010203,-0.26163309478944424
COMBO,0.0276,0.0,23.250384169083965,-0.022661725964186603,-0.3639750246491356,-0.06156692914535984,0.0,0.0,0.0,0.0,100.0,oversold,100.0,oversold,38.64722864629001,,35.0,20.0,2.0,1.791995294992267,0.9207041835376572,1.7606696439463188
COMP,39.52,10.0,3.924996315085386,0.19829533091347398,0.1228529661241877,0.5378967285074602,101.0,100.0,0.0,1.0,100.0,,100.0,,43.52465125735795,,35.0,31.0,2.0,-0.27788755710664104,-0.20092178591472507,-0.42566934311660276
COS,0.003503,5.0,35.34549615772237,0.24283365162384327,-0.004245057753230808,0.2695937759828889,101.0,0.0,0.0,1.0,0.0,,101.0,,39.36756799016668,,35.0,13.0,1.0,1.2859740314549513,0.462242460585705,0.2717305001623408
COTI,0.0689,5.0,4.351390710782886,0.2517506544167448,0.3929726929058708,0.25634493387875495,100.0,100.0,10.0,0.0,100.0,,101.0,,52.67504390929451,,112.0,101.0,0.0,0.08767470901063709,0.1594339746039883,0.5301382992302008
CREAM,5.15,2.0,115.7095381162178,0.23071329866669607,0.024998072834651757,0.2686632988744007,0.0,0.0,0.0,0.0,0.0,,1.0,,38.23719949163269,,-1.0,56.0,2.0,3.027095695254528,-0.4127420100380073,-0.1945600617522243
CRV,0.4929,11.0,4.932251964458815,0.313827890545423,0.639303985791714,0.7306820678365198,101.0,101.0,10.0,1.0,101.0,,100.0,,43.7859373017894,,35.0,31.0,0.0,-0.28121785770708285,0.46346687682264964,0.009814411805947089
CTK,0.343,4.0,5.004501493498467,0.19007263386838416,0.07955361779825253,0.29542862015904353,101.0,0.0,0.0,1.0,100.0,,101.0,,41.040181726649934,,35.0,56.0,1.0,-0.09862443653994109,-0.3413373206830571,-0.08133453135004609
CTSI,0.0659,5.0,7.312118421227761,0.18243166059535953,0.02041843138425796,0.37876666843712736,101.0,0.0,0.0,1.0,100.0,,101.0,,37.1978034470272,,35.0,31.0,1.0,-0.15787342163225523,-0.12165035030130586,-0.4128006205337559
CTXC,0.1376,7.0,10.36022635588682,0.29811906178707837,0.2167866326607802,0.35337552742614103,101.0,100.0,0.0,1.0,100.0,,101.0,,44.16738336133888,,119.0,13.0,1.0,1.4206638274731493,-0.7421270477949481,0.7045611006975679
CVC,0.0913,7.0,2.4912273553627475,0.17870900668509018,0.04756293161120471,0.394538652117557,101.0,100.0,0.0,1.0,100.0,,100.0,,34.28231358676006,,-1.0,12.0,0.0,0.909379697577378,-0.38102106500370947,0.7900423444278696
CVP,0.0339,0.0,7.405470428628155,-0.4755572684005881,0.14244773118348214,-0.3371848633838268,10.0,0.0,0.0,0.0,0.0,oversold,0.0,oversold,37.666953020299,uncharged,364.0,307.0,3.0,1.1607731765502038,0.11902024020731475,0.6849255081094251
CVX,2.085,9.0,11.346604705307323,0.26749019450145317,0.46232880664090176,0.4191976384430633,101.0,100.0,10.0,1.0,100.0,,100.0,,38.022843754548845,,336.0,31.0,0.0,-0.053177365240338365,0.8564663473950183,-0.038438587378287786
CYBER,1.255,8.0,243.4535737505645,0.23211903829042776,0.2607832573017382,0.3838860791419626,101.0,0.0,10.0,1.0,1.0,,101.0,,36.24183862368204,,35.0,56.0,0.0,-0.2633929967651777,-0.7043547160577139,1.5322624777127056
DAR,0.21707,18.0,1.0811467416223366,0.8973341714574853,1.0010768347970567,0.7225785156306479,110.0,111.0,11.0,111.0,11.0,,111.0,,62.624238446909054,,434.0,119.0,0.0,-0.5095988639444643,2.6242806522814757,0.6212911715747336
DASH,22.42,11.0,3.0055821709054085,0.2358660671129498,0.2945268014611938,0.7996650386783848,101.0,100.0,0.0,11.0,100.0,,100.0,,44.478767593055316,,56.0,31.0,0.0,-0.4252694275389479,0.11444932301256183,-0.2420448080954146
DATA,0.01746,6.0,9.463662108038402,0.2032769756833287,0.12420226793141598,0.7213173273603211,101.0,0.0,0.0,1.0,0.0,,101.0,,29.46352846548128,,35.0,56.0,2.0,-0.08187726694673712,-0.3100024370260783,0.08732962941364703
DCR,11.19,7.0,1.9819433932343165,0.27742549142080275,0.20072220537123484,0.563889923293631,101.0,100.0,0.0,1.0,100.0,,100.0,,51.020432088111846,,35.0,13.0,1.0,-0.26451573528929534,-0.1187125157892872,-0.19092881412917553
DEGO,1.806,9.0,2.2087607463976116,0.3077848088363274,0.24427671887185226,0.5550868521903701,110.0,101.0,100.0,1.0,101.0,,101.0,,46.24957726323792,,763.0,85.0,1.0,0.9332506463775093,-0.3509729449065578,-0.7670175591807002
DENT,0.000714,6.0,3.369946949373523,0.21236789499110498,0.17953885850702508,0.5065600455671072,101.0,100.0,0.0,1.0,100.0,,100.0,,44.392272779598066,,35.0,56.0,1.0,0.07322110896997264,-0.08420073626434418,-0.3013976170038091
DEXE,18.081,14.0,1.9247847912273393,0.6546986165932461,0.6422384126969017,0.781118053007563,11.0,111.0,1.0,101.0,100.0,,100.0,,58.50589250991898,,-1.0,8.0,1.0,-0.6960038979937185,0.013995641041615818,0.3928908960626253
DF,0.07356,4.0,1.4707483591379429,0.5463346207957336,0.29257576457658996,-0.01515438923516012,0.0,110.0,100.0,100.0,100.0,,100.0,,66.44795137071773,,364.0,119.0,0.0,-0.1682975957146455,-0.33778585748666146,0.6874076591388201
DGB,0.00852,8.0,2.161804931114454,0.2911049416230765,0.44241889007276486,0.2865222688113149,101.0,100.0,110.0,1.0,100.0,,100.0,,55.008682908364015,,378.0,63.0,0.0,-0.2843713639928121,4.3091912554529515,-0.22053947925473666
DIA,0.3464,4.0,3.349495297636778,0.1631598767060378,-0.009392087395140053,0.24850259541720818,100.0,100.0,0.0,0.0,0.0,,1.0,,44.88894121876442,,35.0,31.0,2.0,-0.22432171705732062,-0.2967209192906898,-0.013358680490952657
DOCK,0.0039,2.0,20.978171832746323,0.03083432674632709,0.04617516458140433,-0.09043621119428401,0.0,100.0,0.0,0.0,0.0,oversold,0.0,oversold,33.68447808062614,,364.0,334.0,2.0,0.375824317079786,-0.7006071785415288,9.760475899879665
DODO,0.0642,6.0,6.649627487484592,0.2032590354511153,0.046703801135330646,0.3563128493831178,101.0,0.0,0.0,1.0,100.0,,101.0,,42.57929376732992,,35.0,31.0,0.0,-0.5849263875833801,-0.025894054703787986,-0.1556985102096194
DOGE,0.16655,9.0,3.8206558376399027,0.16765442247299545,0.26941368327840093,0.33571014877753474,101.0,100.0,10.0,1.0,100.0,,100.0,,41.63373601565903,,35.0,31.0,1.0,-0.2917591857044356,0.8249665318140178,-0.30740319668622285
DOT,4.051,6.0,3.2375963124378857,0.21921019968969555,0.17224646300536578,0.3726301557547909,101.0,100.0,0.0,1.0,100.0,,100.0,,46.19474434408652,,35.0,56.0,1.0,-0.26256363667328897,0.008600548497996638,-0.42319096359240754
DREP,0.0256,1.0,8.22576482781389,-0.4888615062149066,0.2439918757280386,-0.2684879946661395,10.0,0.0,0.0,0.0,110.0,,110.0,,29.023107818089443,uncharged,-1.0,408.0,1.0,-0.2637141666991536,1.526914183437605,1.8500620096240894
DUSK,0.0763,3.0,10.79258987011157,0.17129166733724277,0.007136332109395735,0.23395274717139622,100.0,0.0,0.0,0.0,0.0,,101.0,,33.33660291853957,,35.0,31.0,0.0,-0.6000703101003378,0.7083433323995378,-0.057345210204620516
DYDX,0.6329,6.0,52.198706132841835,0.2633549840918022,0.3299560237920549,0.3102829150858132,101.0,0.0,10.0,1.0,100.0,,101.0,,33.37278019877265,,35.0,13.0,1.0,-0.5060303368716543,0.38346002374244215,-0.27900427616684315
EDU,0.1155,3.0,232.58591022238804,0.14937766611241804,-0.024961332353936085,0.2480446201587456,101.0,0.0,0.0,0.0,0.0,,1.0,,26.08187343901315,,-1.0,56.0,2.0,-0.42032966130996163,-0.10740506326183562,0.3319745091560401
EGLD,16.06,6.0,5.4994672302222884,0.1887974618022184,0.0005243022664665334,0.2831751965745071,101.0,0.0,0.0,0.0,100.0,,100.0,,43.26237347128172,,378.0,31.0,1.0,-0.4257475754787687,0.5292326510335676,-0.32072915072122865
ELF,0.229,6.0,3.802755341098482,0.20147678544505088,0.10653171360716283,0.3811575788130513,101.0,0.0,0.0,1.0,100.0,,101.0,,37.116271789986996,,56.0,26.0,1.0,-0.141084548392172,-0.0040342846192039285,-0.4791525829210929
ENJ,0.0811,5.0,456.56210362264926,0.22816702704697023,-0.00048536712747369274,0.22616029956984784,101.0,0.0,0.0,0.0,100.0,,101.0,,33.20212174177814,,35.0,13.0,0.0,-0.40497027015588993,0.0852409767324833,-0.1813042856811322
ENS,15.92,9.0,3.753939268027174,0.1652086782336509,0.18598880594143066,0.49348696577393397,1.0,100.0,0.0,1.0,100.0,,100.0,,47.8033406982805,,378.0,13.0,1.0,-0.41044192118405437,-0.12708841408347935,-0.23740736547062954
EOS,0.6208,15.0,2.553361545087437,0.34075968140490187,0.9550046738156528,0.8800772340557185,101.0,101.0,11.0,111.0,101.0,,101.0,,48.659661500021436,,35.0,56.0,2.0,0.9713065094440527,-0.4446782075397968,1.105488333989112
EPX,1.94e-05,1.0,7.323279896958667,-0.33529958472309684,0.03984724380712873,-0.218580585330516,0.0,0.0,0.0,0.0,0.0,oversold,0.0,oversold,43.19985737152074,,-1.0,238.0,3.0,0.8044569471327511,-0.4285351285202203,2.7482519410106323
ERN,2.183,17.0,2.1903336542863636,0.48086940047202054,0.9552385390990135,0.9483287424087408,100.0,1.0,111.0,111.0,1.0,,101.0,,46.37526420327037,,644.0,56.0,0.0,-0.4561115278360344,-0.5732379956972439,6.204699751165256
ETC,16.88,8.0,1.891137068187535,0.19244969443222018,0.13038553931493166,0.7154805353967567,101.0,100.0,0.0,1.0,100.0,,100.0,,50.62055192622197,,35.0,13.0,1.0,-0.04562761429678889,-0.1782134965670927,-0.5895367632821775
ETH,1829.94,6.0,1.8385379726014652,0.11381119118376543,0.14156008113701748,0.45157960887784054,101.0,0.0,0.0,1.0,0.0,,101.0,,42.82976135624882,,112.0,13.0,1.0,-0.1999325396771505,0.19947057791213227,-0.4233327972608202
EUR,1.0821,13.0,0.08281482682982717,0.8512166123017604,0.39530344130568934,0.5757185286644245,110.0,11.0,101.0,101.0,11.0,,11.0,,41.78268796928638,,994.0,65.0,1.0,-0.008300857250542203,-0.2647171606409763,-0.1631583601102335
FARM,30.47,7.0,2.395143391962695,0.2654978839608804,0.5782544273608855,0.3666150045860763,100.0,1.0,10.0,0.0,1.0,,101.0,,50.36671839084803,,35.0,13.0,1.0,3.1625701727399553,-0.37900960836036907,9.58872064598149
FDUSD,0.9983,6.0,0.0034384414352507803,0.38477450158988497,0.2819108139275654,0.24185202199326886,1.0,0.0,100.0,101.0,0.0,,10.0,,49.78737585212846,,238.0,139.0,1.0,-0.6128668971569178,0.321840949924796,1.0740488262841987
FET,0.456,3.0,23.595893385494417,0.18866780490332588,-0.004981186420596862,0.22912132148537334,101.0,0.0,0.0,0.0,0.0,,1.0,,34.12617264785655,,-1.0,13.0,1.0,-0.186795949078515,0.0010106520206608907,-0.4587072855796618
FIDA,0.0957,5.0,13.749532482792754,0.20293789891186992,-0.009735594707469358,0.3074146291648123,101.0,0.0,0.0,1.0,0.0,,1.0,,37.24437608921353,,-1.0,56.0,0.0,-0.4462668211303679,0.3060160215260994,-0.28262021316037067
FIL,2.779,8.0,4.211212055170442,0.22123758696657006,0.20877523769631331,0.611835127315424,101.0,100.0,0.0,1.0,100.0,,101.0,,40.736174135574444,,35.0,27.0,1.0,-0.31689192769863667,-0.11173171331677868,-0.43597683768189427
FIO,0.01561,5.0,9.038970549429791,0.196807274241112,0.03888672398865866,0.23195181649926183,101.0,100.0,0.0,0.0,100.0,,101.0,,39.78497201143308,,56.0,13.0,0.0,0.07765869078789046,0.32892800613232565,-0.28439504195095594
FIRO,0.965,6.0,2.8101765461903265,0.1988757588987588,0.08552688988920011,0.5730520315762556,101.0,100.0,0.0,1.0,100.0,,100.0,,37.91332088422846,,-1.0,30.0,1.0,2.411513339754459,-0.5567007861463509,-0.01696555921754033
