tokens,tickers,cours,total_tests,ecart_BB_4d,position_prix_BB_4d,position_prix_BB_4h,position_prix_BB_30m,Tests_MM_4d,Tests_MM_4h,Tests_MM_30m,combo_rsi,Tests_RSI,Surventes_RSI_4d,Surachats RSI 4d,combo_cci,combo_chop,CHOP_4d,CHOP_4h,CHOP_30m,Charged_chop_4d,Charged_chop_4h,Charged_chop_30m,Tests_VOL,VOL_var_1d,VOL_var_7d,VOL_var_14d
airswap,ast,0.103524,6.0,0.05476157298674895,0.5066169902382308,0.7588758171048247,-0.0039040961451937235,110.0,11.0,0.0,,15.0,0.0,20.0,10,1,61.10686961963246,38.720277240477024,46.723757255786765,489.91443352250855,65.47975892810369,163.56392041594182,2.0,-0.03242874155509189,-0.27189033817164887,-0.0025543346609840445
akash-network,akt,1.021,8.0,0.13243107939929796,0.454422247025041,0.9228788091037767,0.16846694617210795,10.0,11.0,110.0,,115.0,0.0,7.0,10,0,61.84566093404608,33.14596827567162,28.697339620731693,47.98570879825705,1.780877546205211,0.0,1.0,-0.0007983713511012347,-0.07676804171524682,0.04886348241969572
alchemix,alcx,16.67,9.0,0.13646700308103107,0.4679658964818815,0.709214668603241,0.6424589161392322,110.0,11.0,110.0,,16.0,0.0,36.0,11,10,32.63766829387331,53.93327227407904,27.277293745450617,0.0,0.09795783471808761,97.3175949211874,2.0,0.0036902518184327862,0.2716735805506593,0.11995773214194543
alchemy-pay,ach,0.02014443,4.0,0.171407188890363,0.12184374706031009,0.6892804860889942,-0.008536143275254301,100.0,10.0,100.0,,10.0,0.0,34.0,10,10,36.0787589119337,42.69542249137101,24.61384086257217,117.09720392721252,0.0,4.404907430922137,2.0,-0.009279515919520722,0.13851805690649646,0.047815551126311695
aleph,aleph,0.072198,8.0,0.16869328859022248,0.1321669865878906,1.0732074994956073,0.7864745519063652,100.0,11.0,110.0,,16.0,9.0,17.0,10,0,34.090818447941544,-9.585235112965137,-19.849476295003843,0.0,3.8617179653926144,0.0,3.0,-0.003456855179372628,0.8170234109413739,0.7066822747075785
aleph-zero,azero,1.12,11.0,0.12673704512577877,0.6062069975810253,0.8830004354468426,0.5374240594282557,110.0,111.0,111.0,,115.0,0.0,44.0,10,1,40.20526545349006,22.19328048101602,42.349261768566386,0.0,0.0,0.0,3.0,-0.03839199651345581,0.0721839569494407,0.036518337581370255
algorand,algo,0.140526,10.0,0.20034352607936987,0.6528574916281253,0.8494624094104879,-0.003334820399026695,110.0,111.0,110.0,,115.0,0.0,34.0,10,0,35.03870086532805,33.70857098330203,25.201007521841298,0.0,0.0,87.19777885331042,3.0,-0.0027302837857607035,0.14925749634012972,0.15655885258591826
alien-worlds,tlm,0.01400328,5.0,0.061067797454099224,0.4592424384024137,0.5303193314901523,-0.008003197214806655,110.0,10.0,100.0,,10.0,0.0,20.0,10,0,55.36748978626134,51.02473850386381,17.430601415042887,0.0,0.0,12.778282160381494,2.0,0.07169457678680576,0.09063473163146671,0.12731456364651703
alkimi,$ads,0.076283,8.0,0.22209431730994422,0.3250797411014492,0.7436945084101659,0.9145093510279974,110.0,110.0,1.0,,112.0,0.0,13.0,11,10,18.691593250783527,26.045990486525007,22.28698647451306,0.0,0.0,160.5224658573305,2.0,-0.005311709777220116,-0.06433153216427527,-0.06721615807403379
allianceblock-nexera,nxra,0.096294,8.0,0.14934825012852287,0.48086858485247125,0.7350620958226353,-0.015235525189105644,110.0,111.0,100.0,,110.0,0.0,38.0,10,0,36.41338080362155,35.20820128778391,23.9959312528425,0.0,0.0,0.4480203763306676,1.0,-0.07253670944508082,-0.009391484029782328,-0.1012806696172161
alpaca-finance,alpaca,0.184136,4.0,0.07828224494414683,0.4122774241823938,0.35523214336219416,-0.004996713679752447,110.0,10.0,0.0,,10.0,0.0,14.0,0,10,54.546220181735045,54.866725598999736,21.358883228821245,0.5385636834755303,0.0,0.0,1.0,0.4067624142458487,-0.0620146953747739,-0.04658452026981252
alpha-finance,alpha,0.090869,6.0,0.05248931420768164,0.6181011414185708,0.6352571245941022,-0.006358400079679074,111.0,10.0,0.0,,20.0,0.0,23.0,0,0,61.23017343411793,39.68142728215272,20.71398921734955,0.7951538691835083,0.7416682495026024,111.2993769936217,2.0,0.009128477209050866,-0.02212326369825396,-0.049787198568381374
alpine-f1-team-fan-token,alpine,1.87,5.0,0.0738204852705582,0.6480163841114512,0.4886036134492467,-0.00014541499416922046,110.0,10.0,0.0,,110.0,0.0,21.0,0,10,39.42455747521269,51.178401127000384,43.714105064332095,3.396494373610679,0.0,137.3243421274721,1.0,-0.0006190638831095008,-0.1291526090432334,-0.04508051124058211
amber,amb,0.00933611,7.0,0.08461455255351329,0.9521940203613278,0.6095997345844693,-0.0013827772348041743,11.0,10.0,100.0,,120.0,0.0,9.0,0,0,50.1937338952317,42.581035127491624,21.619325369365164,18.156105185399404,18.075422470395424,21.95308608586987,2.0,0.0420270427375203,0.1403134571915266,0.13445020599551227
amp-token,amp,0.00207455,9.0,0.14939602191754087,0.5514951207216442,0.7918460428697783,0.6338562695465912,110.0,111.0,101.0,,12.0,0.0,49.0,10,1,62.75768415570112,5.982477448593958,36.26797637039872,35.528884749990944,0.0,0.0,4.0,0.003921420589847023,0.18356777993617557,1.311957581824272
ampleforth,ampl,1.85,8.0,0.1794614740800914,0.9174436543628981,0.3816074619492898,-0.0029596665371519632,111.0,1.0,100.0,,115.0,0.0,63.0,0,10,32.38748907015169,34.56286892630647,21.260350929196253,0.0,0.0,0.0,2.0,0.0003198031381272834,-0.11752642738647023,-0.11698866065622222
ampleforth-governance-token,forth,3.42,6.0,0.04414605250439402,0.37208794491480557,0.8562017676094886,-0.008549443523199729,100.0,11.0,100.0,,15.0,0.0,25.0,10,0,66.59020415507565,45.27258737345594,19.47900604335221,25.721983316073747,29.323877382189337,2.978759250370288,3.0,0.0002752080789193897,0.03980044778471571,0.05473646661709372
anchor-protocol,anc,0.01076953,3.0,0.1424966826169814,0.23374819855226595,0.3723122677973431,0.27425538402631444,100.0,0.0,0.0,,12.0,0.0,16.0,11,0,76.01422684116633,72.72654053482377,23.20828120533857,54.8251232102612,110.97761381047016,0.0,3.0,0.00042807865377200054,0.0027020148187760526,0.17312305911128953
ankr,ankr,0.02655461,8.0,0.06580460887111231,0.6455479696304945,0.7189455215355407,-0.005128760617449237,111.0,11.0,100.0,,20.0,0.0,23.0,10,0,65.11022038706795,49.61009136624911,34.4424594461383,12.778247606690286,3.417124956430712,8.071490397513038,2.0,-0.005911209224793415,0.1712516482029532,0.13494420750964373
apecoin,ape,1.54,9.0,0.1106168448117025,1.003985187708011,0.565017089381812,-0.0007887539157953884,111.0,110.0,100.0,,120.0,0.0,10.0,0,10,47.260495592302526,50.5013089958001,25.543480520986954,0.0,0.7395566301578071,6.5876914804770905,2.0,0.02657576283911206,0.058956813670127915,0.08398341866347721
api3,api3,1.53,4.0,0.07309340466939933,0.2050326016953492,0.6034796692980929,0.0407206732281543,100.0,10.0,100.0,,10.0,0.0,7.0,10,0,58.547382845551475,50.51729598877404,26.36154648755724,65.60692584380283,4.156262821600961,15.062229446335436,2.0,0.015665721811257964,0.12937692398718054,0.04373061838813684
